id,name,latitude,longitude
158,Папа Джонс,56.7914264,60.5172769
159,Хлебничная,56.7920466,60.5184349
160,Пирожковая,56.7916972,60.5170764
161,Московское,56.8118149,60.5917551
162,АмНям,56.8086672,60.5925153
163,Кулинария Космос,56.8382476,60.608748
164,Смак,56.8492105,60.6076278
165,Три ватрушки,56.8036608,60.6144267
166,Эдэм,56.8284914,60.6280774
167,Столовая,56.8277829,60.6280722
168,Breadbery,56.8433114,60.62773
169,У Вагита,56.931726,60.6146025
170,Вилка-ложка,56.8397358,60.6191776
171,Суши wok,56.848083,60.6151953
172,СушиWok,56.8100701,60.622381
173,Скороед,56.8996862,60.6102291
174,Заварка,56.7833711,60.5410824
175,Сытый папа,56.7827996,60.5462405
176,Coffe project,56.8313578,60.5989232
177,Вилка-ложка,56.841974,60.631433
178,Дом хлеба,56.830624,60.5567434
179,Пицца,56.9082916,60.5906852
180,Нирвана,56.8293592,60.5629206
181,Пекарня,56.8401994,60.5694508
182,Татищев,56.8353653,60.5511383
183,Кантри Шик,56.833111,60.565327
184,Фламинго,56.8274639,60.5630689
185,ГеймХаус,56.8460824,60.6512398
186,Три ватрушки,56.8299233,60.5667915
187,La Nuar,56.8386459,60.5540993
188,Дарья,56.776347,60.5528746
189,Cafe 51,56.8186636,60.641397
190,Пельменная,56.8171718,60.6387915
191,Сыто-место,56.8567702,60.6015721
192,Red Wood Cafe,56.7831128,60.5406739
193,Европейская пекарня,56.8177035,60.6095325
194,Неаполь,56.8665582,60.5638322
195,Магазин печенья,56.8372106,60.5525483
196,Производственная столовая,56.8127884,60.5457758
197,Узбечка,56.8196454,60.6407692
198,Столовая,56.807774,60.6110583
199,Ли-Ли,56.7962129,60.5146089
200,Бисквитный Двор,56.7563661,60.7042001
201,Кафе,56.8316897,60.6625762
202,Старый дворик,56.7553746,60.7098301
203,Ностальжи,56.8959921,60.6204769
204,Хинкали,56.8111597,60.63221
205,Домашняя кухня,56.8100154,60.6219861
206,Вилка-ложка,56.810335,60.6231563
207,Лакмусс,56.8442828,60.6181905
208,Кузня,56.8490115,60.6044715
209,Крекер,56.8038055,60.5661419
210,СТОЛОВАЯ НА ЮЖНОЙ,56.8023162,60.6128981
211,Столовая,56.8479164,60.6670757
212,DolceAmaro,56.8414273,60.5829663
213,TAT GOLD,56.9014729,60.6209893
214,Япона-мама,56.8327629,60.5527638
215,Пекарня №1,56.8329336,60.5520513
216,Индира,56.8580062,60.6072728
217,VietMon,56.8415621,60.6463794
218,Поль Бейкери,56.8432893,60.6447699
219,GhettoCoffee,56.841812,60.6314835
220,PingPong,56.8067907,60.6124582
221,Чарли,56.8240575,60.616124
222,Вилка-ложка,56.8242596,60.603837
223,Вилка-ложка,56.8291431,60.6170601
224,Малиновка,56.8259259,60.5562708
225,Суши-шоп,56.8481096,60.6169713
226,Быстрое питание,56.740039,60.6069919
227,Чайная на Де Геннина,56.7902177,60.5174268
228,Жан Поль,56.8413931,60.62029
229,Булочная,56.8418931,60.6201369
230,Рататуй,56.8335154,60.5932357
231,Hygge,56.8363305,60.5609703
232,Вилка-ложка,56.8584061,60.6065973
233,ПерекусCity,56.8317198,60.5671952
234,Lucky Хлеб пекарня,56.8317791,60.5672041
235,Богема,56.8263064,60.5580964
236,Все для пекаря и кондитера,56.8266573,60.5587556
237,Какаду,56.849944,60.5549904
238,Грильяж,56.7955446,60.6156426
239,Ля Риш,56.8433431,60.6221496
240,SmilePizza,56.8310584,60.5498648
241,Московское,56.8104797,60.59232
242,Мон Плезир,56.8419882,60.6257049
243,Самовар,56.8429831,60.6253119
244,Охота по-русски,56.8298401,60.5568697
245,Пекарня,56.8397321,60.5547123
246,Вкусняшка №1,56.8365692,60.5821967
247,Шашлычный центр,56.8363384,60.5877009
248,Хлебная лавка,56.8310064,60.5506298
249,Сладкий рай,56.7955649,60.5095045
250,Pash*a,56.7897371,60.5164192
251,Пышка,56.8259166,60.6373253
