id,type,name,latitude,longitude
2030,tram_stop,Новомосковская,56.8192429,60.5375558
2031,tram_stop,Улица Серафимы Дерябиной,56.8143109,60.5493368
2032,bus_stop,ТК Буревестник,56.816374,60.5629714
2033,tram_stop,ТК «Буревестник»,56.8164629,60.5628592
2034,tram_stop,Улица Плотников,56.8238781,60.5426066
2035,bus_stop,ДК Лаврова,56.8939864,60.6144206
2036,bus_stop,Метро Уралмаш,56.8880906,60.6137079
2037,bus_stop,Ломоносова,56.9104077,60.6125408
2038,bus_stop,Радиостанция,56.9227941,60.6127866
2039,bus_stop,Союзная,56.9317135,60.6150625
2040,bus_stop,Союзная,56.9326135,60.6155568
2041,bus_stop,Метро Уралмаш,56.8873334,60.6124731
2042,bus_stop,Радиостанция,56.9218434,60.6124294
2043,bus_stop,УЗТМ,56.8857363,60.592363
2044,bus_stop,Unknown,56.7985925,60.5943752
2045,bus_stop,Автовокзал,56.8077561,60.6074719
2046,bus_stop,Автовокзал,56.8083719,60.608083
2047,bus_stop,Автовокзал,56.8086523,60.6107936
2048,bus_stop,Автовокзал,56.8096063,60.6097393
2049,bus_stop,Автомобильный колледж,56.8420107,60.6368344
2050,bus_stop,Автомобильный колледж,56.8422928,60.6379259
2051,bus_stop,Академгородок,56.7678893,60.5480148
2052,bus_stop,Академгородок,56.7682843,60.547453
2053,bus_stop,Академика Вонсовского,56.7792279,60.5573811
2054,bus_stop,Академика Вонсовского,56.7798949,60.558597
2055,bus_stop,Амундсена,56.7969556,60.5796459
2056,bus_stop,Амундсена,56.7977183,60.5805996
2057,bus_stop,Амундсена,56.7978383,60.5790243
2058,bus_stop,улица Большакова,56.8172609,60.6067
2059,bus_stop,Большакова,56.8179426,60.6078592
2060,bus_stop,Волгоградская,56.8010489,60.5848162
2061,bus_stop,Волгоградская,56.8021731,60.5862227
2062,bus_stop,Восточная,56.8412262,60.6305285
2063,bus_stop,Восточная,56.8414898,60.6303303
2064,bus_stop,Горный университет,56.8267172,60.5992181
2065,tram_stop,Гостиница «Исеть»,56.8420234,60.6196522
2066,bus_stop,улица Декабристов,56.82181,60.6050367
2067,bus_stop,Екатеринбург. Южный автовокзал,56.808042,60.6119739
2068,bus_stop,Екатеринбург. Южный автовокзал,56.8085766,60.6118511
2069,bus_stop,Екатерининский привоз,56.7706774,60.5433481
2070,bus_stop,Екатерининский привоз,56.7714792,60.5432325
2071,bus_stop,Колледж имени Ползунова,56.8378148,60.599646
2072,bus_stop,Лесная,56.7727881,60.5456296
2073,bus_stop,Лесная,56.7733413,60.5466404
2074,bus_stop,Онуфриева,56.7927459,60.5743879
2075,bus_stop,Онуфриева,56.7930988,60.5748304
2076,bus_stop,Оперный театр,56.8399053,60.6188669
2077,bus_stop,Оперный театр,56.8400418,60.6170663
2078,bus_stop,Первомайская,56.8420535,60.6329243
2079,bus_stop,Площадь Малышева,56.8340434,60.5987703
2080,bus_stop,Храм Большой Златоуст,56.8341645,60.6007494
2081,bus_stop,Площадь Труда,56.8387849,60.6087746
2082,bus_stop,Рабочая,56.775903,60.5513075
2083,bus_stop,Рабочая,56.7765524,60.5525006
2084,bus_stop,Рабочая,56.7767534,60.5512126
2085,bus_stop,Серова,56.8073249,60.5977105
2086,bus_stop,Серова,56.8074792,60.5991963
2087,bus_stop,Станция метро «Геологическая»,56.8269994,60.60159
2088,bus_stop,Станция метро «Площадь 1905 года»,56.8360379,60.5994263
2089,bus_stop,"Станция метро ""Площадь 1905 года""",56.836423,60.5992915
2090,bus_stop,ТРЦ «Гринвич»,56.8282377,60.6017189
2091,bus_stop,УрФУ,56.8424172,60.6455229
2092,bus_stop,УрФУ,56.8429782,60.6439508
2093,bus_stop,улица Фрунзе,56.8129033,60.6083581
2094,bus_stop,улица Фрунзе,56.8143971,60.6080008
2095,bus_stop,Цирк,56.8260054,60.6037238
2096,bus_stop,Шаумяна,56.8073984,60.5922585
2097,bus_stop,Сады,56.7698136,60.7312753
2098,bus_stop,Поворот на ЖК Светлый,56.7830358,60.6968663
2099,bus_stop,Пионерская,56.8587599,60.6196918
2100,tram_stop,Пионерская,56.8595932,60.6190925
2101,bus_stop,Проспект Космонавтов,56.8627405,60.6110301
2102,bus_stop,Электриков,56.8782026,60.6218863
2103,tram_stop,Улица Электриков,56.8782262,60.6206596
2104,tram_stop,Турбинный завод,56.8817482,60.6337635
2105,tram_stop,Турбинный завод,56.8818959,60.6341012
2106,bus_stop,Фронтовых Бригад,56.8830954,60.6374964
2107,bus_stop,Фронтовых Бригад,56.8837968,60.6400305
2108,bus_stop,Фронтовых Бригад,56.8841616,60.6385591
2109,bus_stop,Краснофлотцев,56.8892418,60.6324772
2110,tram_stop,Улица Краснофлотцев,56.8898394,60.6319734
2111,bus_stop,Краснофлотцев,56.8904562,60.6333171
2112,tram_stop,Улица Фрезеровщиков,56.9006299,60.6181232
2113,tram_stop,Улица Энтузиастов,56.894601,60.6273006
2114,tram_stop,Донская улица,56.896346,60.632443
2115,tram_stop,Донская улица,56.8968601,60.6340729
2116,tram_stop,Площадь Обороны,56.8226682,60.629649
2117,tram_stop,ЦПКиО (Центральный парк культуры и отдыха),56.8184369,60.6386385
2118,tram_stop,ЦПКиО (Центральный парк культуры и отдыха),56.8184809,60.6386643
2119,tram_stop,ЦПКиО (Центральный парк культуры и отдыха),56.8185342,60.6386802
2120,tram_stop,Улица Декабристов,56.8246066,60.6263283
2121,bus_stop,Луначарского,56.8248199,60.6251295
2122,bus_stop,Луначарского,56.8249883,60.6268097
2123,bus_stop,Телестудия,56.8283196,60.624748
2124,bus_stop,Дом Кино,56.8361764,60.6213166
2125,bus_stop,Белинского,56.8287134,60.6180591
2126,tram_stop,Управление Cвердловской железной дороги,56.8514897,60.5944448
2127,tram_stop,Улица Папанина,56.8428644,60.5828354
2128,tram_stop,Улица Папанина,56.8432656,60.5833152
2129,bus_stop,Площадь Коммунаров,56.8362245,60.5808627
2130,bus_stop,ТЦ «Алатырь»,56.8320155,60.5823874
2131,bus_stop,ТЦ «Алатырь»,56.8321827,60.5842439
2132,tram_stop,Посадская улица,56.8183611,60.5885162
2133,bus_stop,Сахалинская,56.8617766,60.6629533
2134,tram_stop,Улица Кузнецова,56.887367,60.6078773
2135,bus_stop,Сады,56.8326269,60.3344467
2136,bus_stop,Баумана,56.8971444,60.6410658
2137,bus_stop,Турбинный завод,56.8817986,60.6341162
2138,bus_stop,Красных командиров,56.900933,60.6367955
2139,bus_stop,Спортивная,56.8941273,60.6415213
2140,bus_stop,Таганская,56.905569,60.6333351
2141,bus_stop,Шефская,56.8920452,60.6380408
2142,bus_stop,Войкова,56.9022615,60.6352831
2143,bus_stop,Турбинный завод,56.8817278,60.6333729
2144,bus_stop,Красных командиров,56.898309,60.6397368
2145,bus_stop,Таганская,56.9049629,60.6321914
2146,bus_stop,Шефская,56.891316,60.6358538
2147,bus_stop,Unknown,56.7645147,60.5909064
2148,tram_stop,Улица Кирова,56.8412266,60.5616581
2149,bus_stop,Педуниверситет,56.8787834,60.6106869
2150,tram_stop,"ТРЦ ""Карнавал""",56.852516,60.552975
2151,tram_stop,Таганский ряд,56.861057,60.5485054
2152,tram_stop,Улица Бебеля,56.8652294,60.5496496
2153,tram_stop,Улица Бебеля,56.8658353,60.5495303
2154,tram_stop,Улица Сварщиков,56.8803319,60.5585519
2155,tram_stop,Улица Лукиных,56.8830953,60.5613563
2156,tram_stop,Улица Лукиных,56.88414,60.562529
2157,tram_stop,ДК ВОС (Дом культуры Всероссийского общества слепых),56.8645947,60.5370305
2158,tram_stop,Техническая улица,56.866163,60.5325887
2159,tram_stop,Улица Ватутина,56.8714848,60.5206839
2160,tram_stop,Кишинёвская улица,56.8789338,60.5095593
2161,tram_stop,Дружининская улица,56.8813445,60.5037108
2162,tram_stop,Библиотека,56.8875941,60.566216
2163,tram_stop,Донбасская улица,56.89049,60.5693562
2164,tram_stop,Донбасская улица,56.8909396,60.5697411
2165,tram_stop,Расточная улица,56.877465,60.5131321
2166,tram_stop,Улица 40-летия ВЛКСМ,56.8347599,60.6916964
2167,tram_stop,Улица 40-летия ВЛКСМ,56.8348025,60.6916909
2168,bus_stop,Сосновый бор,56.7812391,60.6815957
2169,bus_stop,Лечебный,56.7949079,60.7274359
2170,bus_stop,Лечебный,56.7949077,60.7276623
2171,bus_stop,Исток,56.7874296,60.7880474
2172,tram_stop,Слесарей,56.8395255,60.5582963
2173,bus_stop,Лесничество,56.7768571,60.8014426
2174,bus_stop,Улица Трактовая,56.7793104,60.7950476
2175,bus_stop,Улица Трактовая,56.7794067,60.7951473
2176,bus_stop,Союз,56.8090014,60.7668033
2177,bus_stop,Екатеринбург. Северный автовокзал,56.8582675,60.5992254
2178,bus_stop,База ОМОН,56.8318677,60.5178757
2179,tram_stop,Теплоходный проезд,56.8635168,60.5401454
2180,bus_stop,Белая башня,56.8937454,60.5713619
2181,bus_stop,Гора Хрустальная,56.8311499,60.3936379
2182,bus_stop,Гора Хрустальная,56.8312832,60.3893369
2183,bus_stop,ЖБИ,56.8289659,60.6935623
2184,bus_stop,Заводоуправление,56.8338588,60.6943073
2185,bus_stop,Заводоуправление,56.8340984,60.6943437
2186,bus_stop,Супермаркет Кировский,56.8351372,60.6851693
2187,bus_stop,Супермаркет Кировский,56.8351739,60.6842243
2188,bus_stop,Профессорская,56.8406415,60.6518237
2189,bus_stop,Комсомольская,56.841142,60.6589221
2190,bus_stop,Комсомольская,56.8411772,60.6604603
2191,bus_stop,Высоцкого,56.8429215,60.6862461
2192,bus_stop,ЖБИ,56.8261861,60.6885728
2193,bus_stop,Каменные палатки,56.8412695,60.6788337
2194,bus_stop,Комсомольский микрорайон,56.8273598,60.6828986
2195,bus_stop,Комсомольский микрорайон,56.8276831,60.6825082
2196,bus_stop,Медицинский колледж,56.8281141,60.6828324
2197,bus_stop,Новгородцевой,56.8343491,60.6705764
2198,bus_stop,Новгородцевой,56.841289,60.6729516
2199,bus_stop,Развилки,56.8391535,60.6692969
2200,bus_stop,Развилки,56.8392639,60.6687906
2201,bus_stop,Школа,56.8315122,60.6771442
2202,bus_stop,Профессорская,56.8401911,60.6506765
2203,bus_stop,Бульвар Малахова,56.7959448,60.6216549
2204,bus_stop,Ж/Д Вокзал,56.8569548,60.6081912
2205,bus_stop,Молодогвардейцев,56.7841172,60.667478
2206,bus_stop,Самоцветный бульвар,56.7959657,60.614949
2207,bus_stop,"ТЦ ""Дирижабль""",56.7962792,60.6282257
2208,bus_stop,Уральская,56.8609378,60.6239554
2209,bus_stop,Филармония,56.8426946,60.6101634
2210,bus_stop,Щербакова,56.781641,60.6565259
2211,bus_stop,Южная,56.8007235,60.6120916
2212,bus_stop,Станция Исток,56.7885008,60.7897909
2213,bus_stop,"Метро ""Ботаническая""",56.7972526,60.6310574
2214,bus_stop,Бухара-Урал,56.8016438,60.7798516
2215,bus_stop,ДК Гагарина,56.8249467,60.6459552
2216,bus_stop,Завод ЖБИ,56.8238481,60.6962729
2217,bus_stop,Парфюмерная фабрика,56.8287242,60.6634178
2218,bus_stop,Поворот на Исток,56.7719768,60.8713897
2219,bus_stop,Посёлок Кольцово,56.7740367,60.8173795
2220,bus_stop,Реактивная,56.7755219,60.8331847
2221,bus_stop,Тубсанаторий,56.8171746,60.7310628
2222,bus_stop,Шарташский рынок,56.8302289,60.6361341
2223,bus_stop,Энгельса,56.8352803,60.6343443
2224,bus_stop,Боровая,56.8610056,60.6496676
2225,bus_stop,Бухара-Урал,56.8017601,60.7799515
2226,bus_stop,ДК Гагарина,56.8251603,60.6448819
2227,bus_stop,Завод ЖБИ,56.8240444,60.696154
2228,bus_stop,Малышева,56.8381849,60.6332979
2229,bus_stop,Поворот на Исток,56.7712339,60.8695361
2230,bus_stop,Посёлок Кольцово,56.7739241,60.8164053
2231,bus_stop,Сибирский тракт,56.8271126,60.6375953
2232,bus_stop,ТЦ Восточный,56.8341942,60.6347604
2233,bus_stop,Шарташский рынок,56.8292485,60.6367359
2234,bus_stop,Дачная,56.8721386,60.6850381
2235,bus_stop,Дачная,56.8724886,60.6857897
2236,bus_stop,Норильская,56.8821745,60.6951141
2237,bus_stop,Поворот на Изоплит,56.8848637,60.7221717
2238,bus_stop,Поворот на Изоплит,56.885449,60.7241292
2239,bus_stop,Поворот на Изоплит,56.8854702,60.7226347
2240,bus_stop,Посёлок Калиновский,56.9049228,60.7236877
2241,bus_stop,Проезжая,56.8748915,60.6899346
2242,bus_stop,Проезжая,56.8755511,60.6909652
2243,bus_stop,Рыбаков,56.8841058,60.7123302
2244,bus_stop,Рыбаков,56.8841124,60.7170196
2245,bus_stop,Блюхера,56.8573194,60.657646
2246,bus_stop,"Центр культуры ""Урал""",56.8548611,60.6598725
2247,bus_stop,Магазин,56.8767331,60.7353608
2248,bus_stop,Магазин,56.8770817,60.7354607
